sentence,label
"Rather, they work for corporations that give a proportion (sometimes a small one) of the money they collect to the charity.",1
"honestly, telling anyone that they have to agree that they are racist or they are deemed racist is a horrendous generalization and as offensive as it gets.",4
"Whether she's fit for Cabinet on the other hand is really a question that applies to the entire, 'just not ready' Government.",6
"Even in a calmer market, officials rightly worry that too many homebuyers don't have a sufficient financial cushion to weather even a slight - and inevitable - rise in mortgage rates down the road.",1
"'It's a terrible way to raise money,' the legendary investor, who opposed casinos in his home state of Nebraska (and won), told reporters during an annual shareholders meeting.",1
"One thing that the accumulated interviews I have done with gangsters suggests to me is that organized criminality and violence tend to flourish where state institutions are weak, absent or corrupted.",5
"Turn back the clock to just around the time of the 'British invasion'Anyone serious in society was 40+, all the romance movies had veritable geezers like Cary Grant as the lead.",11
A brand new gravy train will be rolling across the country soon to provide work for all those unemployed T&R hangers-on.,6
"And contrary to the Flemish, the Catalans and the Basques, the Scots speak an international language - they had no reason to fear cultural isolation.So if Scotland's nationalists couldn't win, who could?",11
"In a recent television interview, the Lady reinforced that idea, boldly stating: 'I will make all the decisions because I'm the leader of the winning party.'",6
"One night, I was standing guard at the corner of Obispo and Oficios when a supposedly U.S. military plane flew over Havana.",15
All this suicidal political malarkey just to be able to indict your opponents of being this or that new taboo word in a dictionary!,6
"Overall, it's hard to escape the conclusion that the Conservatives are trying to run the government with their own interests front and centre, rather than those of the country.",6
U.S. President Barack Obama has his hands full trying to find common ground with the new Republican control of Congress.,6
"The fallout is plain to see.In Alberta last week, a judge stayed a first-degree murder charge because it had taken more than five years to come to trial.",5
I don't know what's wrong with this industry that they say they can't make money but maybe a little competition will help them with some introspection.,1
Need information on people - look at health coverage data from provincial health departments - it will tell you how many males over 90 reside in tiny town Alberta.,9
"There is lots of legislation that I don't like either, some coming from governments that I deeply dislike, such as the current one in Ottawa.",5
"The right to self-preservation is at the heart of an Ontario Court of Appeal ruling on Monday striking down the Criminal Code ban on brothels, and rewriting the anti-pimping law to allow prostitutes to hire bodyguards.",5
"Hundreds of thousands died; Armenians, Turks, Russians and Kurds, mostly of starvation and cold including most of the Ottoman soldiers who deployed.",8
"And so as the last 33 days of 2016 lie before us, what will the final count of Canadians choosing Cuba as a vacation destination be...1.2 million?",15
Those who believe that the only thing that matters is money or status will kill off anything they can for their own profit.,1
"Short-term focus compels us to buy the least expensive of everything, regardless of the conditions in which it was made, the impact on the economy and the impact on the livelihood of our neighbours.",1
He was simply saying that when the state steps in to control what individuals can or cannot look at we are getting into complex issues that can impinge on a whole range of individual freedoms.,4
"Or is it the most evil fruit since Adam and Eve?If you are against genetically modified foods, the answer is 'evil,' of course.",3
"I read where it cost TO over $175 million to install bike lanes but bicycles, roller-bladers, e-bikers and so on use the bike lanes 'for free'.Why not charge for a bicycle license and require them to carry insurance?",1
"'Partisanship aside, I think most neutral observers will agree it's a good thing that Ms. Smith lost her nomination bid.",6
"Nothing against carbon taxes, as long as they are offset by equal dollar cuts in other taxes - GST or income taxes.",1
A new paper by the chief actuary at pension consultants Morneau Shepell argues that Canada isn't facing a retirement crisis after all.,6
"To be able to make a good living artistically under these market conditions, you need some way to take economic 'rents' -- unionization, fame, co-marketing, external funding, etc.",1
"Finally, if the 'Responsibility to Protect' is so sacred, then we have the moral responsibility to replace numerous regimes throughout Africa, the Middle East, Central and South America, Asia and, perhaps, even that our closest neighbour.",3
"But ask the average American what they think of when you say 'Memorial Day', and they will answer 'the first BBQ of the year' or 'the Indiannapolis 500'.",12
Why do we continue to send our raw materials to Asia and allow them to create the higher value refining jobs.,1
They likely assumed in return that they would be protected and defended by the party that put them in the Senate for that purpose.,6
"If anyone was masochistic enough to read opposition platforms, they would find them stuffed with bromides and promises that are ditched or modified once they crash into reality.",6
Because all the boomers who lost their savings in 2008 won't retire until they dig theirselves out of the hole.,1
"Combining these ads with the party's own messages means that the Conservatives will continue to conduct the 'permanent campaign' at your expense, but for their purposes.",6
"Tory's successful sales pitch was built of two elements: a promise to be everything Rob Ford was not - conciliator, bridge-builder, planner, thinker - and a pledge to get things moving on public transit, the city's most urgent file.",6
The common thread running through them are policy makers who weren't afraid of going back to the drawing board when the existing system wasn't working.Back to Mr. Schleicher.,6
We have become the same and for that reason we are unlikely to burn someone alive because of an argument on the Trinity.,3
The Liberals conspired with the press and special interest groups to make sure that the gun control act was passed.,6
"In three national polls conducted during the mission-extension debate, a majority of Canadians (as many as 74 per cent) supported the air campaign and its extension.",12
"Such resorts are inherently inward-looking, and the benefits will be concentrated.Some people argue that a major casino in Toronto would have dynamic effects for the city's economy.",1
"So strange, Liberal governments in QC and now here in BC are all just not liberal but right wing lunatics only caring about profits and treating people like they are simply widgets.",6
"Bill C-51 was prototypical big-government nastiness, approaching the behavoiur of dictatorships/Communist states, so why did the Conservatives pass it (with Justin's support)?",6
"'Unlike many of Mr. Obama's initiatives, this one reflects bipartisan congressional support for similar proposed legislation being cobbled together in the Senate.",6
"She is on Twitter @Balkissoon.On Monday, the second of three young men accused of distributing child pornography began his trial in a Halifax court.",5
Statistics are no longer kept but simple observation shows the majority of violent crimes committed by people who came from violent countries.,12
"The Canadian economy continues to grow, yet its international aid budget is tightened, at a time of rising global hunger and many people slipping further below the poverty line.",1
But the balance of the evidence goes to show that gaming establishments do not have any especially stimulative economic effects.There will be construction jobs.,1
"They all add up to one thing: INCREASED GOVT REVENUES, revenues I submit, that improve the lives of people all over the province.",1
"Syria?Under Mr. Mulcair, the NDP repositioned itself toward the centre, a wise move, considering its reputation as a big-spender party filled with radicals of various stripes.",6
The recent demonstrations for a change in governance were permitted by the authorities- and this is all well and good.,6
Mirvish has shown his sensitivity to such questions and Mr. Gehry has a track record that merits the benefit of the doubt.,5
How often are we told of the horrible birth defects and cancers plaguing Iraqis and Afghanis due to the 1000 metric tonnes of radioactive waste left in each of those countries?,9
I am perplexed how the public (which has a very valid interest in all of this) can allow this to happen.,12
"God (oh my bad, she hates God and religion and has no respect for anyones beliefs) help you if you disagree with her opinion or present YOUR own point of view.",3
"'In a typical election year, foreign policy is a strong point for the Republican Party and the Republican candidate,' noted University of Akron political science professor David Cohen.",6
"Again, after the Second World War, Japan underwent another basic shift under U.S. occupation.Both events demonstrated the incredible cohesiveness of Japanese society, a cohesiveness that underlies the ability to undergo revolutionary change without total social upheaval.",11
"In British Columbia, a former RCMP communications officer, Tim Shields, has been charged with the alleged sexual assault of a civilian employee of the force while he was still an officer.",5
Your the guy who said we have to put a price on everything so the corporate world can buy and control everything.,1
Only the men in sandals with beards will writhe in moral confusion and the rest of us would applaude the ritual swatting of an irritant.,3
"That is left to India's minuscule elite of academics and intellectuals.Over the years, it has gradually emerged that India's middle class is different in another way: its size.",11
"This is where the public interest now takes shape, not through evidence-based policy advice.Governing from the centre first took shape under Pierre Trudeau.",6
"'Discussion has turned to bringing the tabled text from the conference - with a few widely supported improvements - to the UN General Assembly later this year, where it can pass with a majority vote of member states.",6
"The space can be booked for as little as 30 minutes at a cost of up to $2 an hour, billed to the motorist's credit card.",1
"'Baby' seems appropriate for many of this generation, too many of which can't shake the idealization of youth culture (e.g.",11
Another issue we face is having to surrender our passports for 3 or more weeks while waiting for new passports.,6
"As both citizens and consumers, Canadians do want to see themselves reflected in the books and magazines they read, the TV they watch and the music they hear.",11
"Court documents show Clark and Mark Marissen admitted in the course of legal discussions that Clark did hit the car, but disputed the injuries of the plaintiff among other items.",5
Your argument against the Liberals would be confirmed only if they supply more arms to Saudi Arabia (and jeeps aren't exactly arms).,8
"'The six men accused of the bus attack have been arrested and charged with murder, and the government has ordered an inquiry into how rape cases are handled.",5
Do you ever get the unsettling impression that there?s a junior varsity team in the White House?.........................................................................................................................The Democrats and the voters forgot to check Obama's credentials.,6
"But Amb Heinbecker gives away the game with his moral relativism and, paradoxically, his immorality of unrealism in point 7.",3
I'll agree that computers are shrinking the work force but that's all the more reason to become more stringent and crack down on off-shore outsourcing of jobs.,6
"The San Bernardino couple's arsenal of guns and ammo was, as a writer for The Nation put it, 'as American as apple pie.'",11
"A per-capita debt of $20,000, with interest payments making up the largest item in the city's budget, is not sustainable even with help from the state and federal governments (and that help is not forthcoming).",1
There was high drama in The Hague and in the Democratic Republic of the Congo on Wednesday as the judges of the International Criminal Court prepared to release the tribunal's historic first judgment.,5
"Also troubling is the fact that many of these ADHD diagnoses seem to be highly subjective in nature, as the article points out.",9
Harper accused Trudeau of 'living in a dream world' when JT said that he'd cancel the F35 if the Liberals formed the next government.,6
"...'If I were a young black man imprisoned in South Africa,' he added, 'I would support those who supported me.",4
"The U.S. Department of Justice may be considering the possibility of a federal civil-rights prosecution, but this is not a promising route.",6
Over the last 15 years tax cuts have reduced federal revenues by over four per cent of gdp or $75 billion.,1
"Sure, the Kenya situation is regrettable, but no more so than the US' refusal to attorn to the jurisdiction of the court.",5
"You can say virtually anything about an age cohort that spans 18 years, particularly if you start with the assumption that all people in that cohort are almost exactly alike.",15
You just have to be able to move out of moms basement and try those over educated wings you have.,15
"If products are approved by Health Canada and the people 'prescribing' them are regulated by the province, the public can be forgiven for thinking homeopaths are as legitimate as physicians who prescribe prescription drugs.",9
The issue with the most recent ebola outbreak was a failure to respond early enough and with enough resources to get it under control quickly.,9
"Given that landlords require an income of about three times the rental amount in order to accept tenants, single people who earn less than 50K annually are essentially shut out of the rental market unless they choose to share accommodation.",1
"The only thing I could add is that when the day finally approaches, something comes up and the whole charade starts all over!...Usually the third attempt is successful!",15
"It is always astonishing to me when those who feel they or their 'group' has been oppressed (in this case, Francophones having been oppressed by Anglophones) have no problem opprressing others.",4
It's not an easy case - not if you're concerned with getting Fahmy out of an Egyptian jail and home.,5
"legislature in 2013, the RCMP warned us of possible drone terrorist attacks in 2014, we had a terrorist running loose in Parliament Hill in 2014, and we lost two soldiers to terrorism on our soil in 2014.",8
"The guys running the PMO came directly from the McGuinty/Wynne administration, is it any surprise that Trudeau and company are travelling the same road.",6
"You need qualified applicants, and those applicants in turn, need to be experienced lawyers and WANT to be a judge.",5
"I want to end discrimination against the girls currently living with parents who had them reluctantly, and to make sure that women have options if they're abused for not producing boys.",4
And that is going to be central to any solution requiring more action than talk - particularly in an election year.,6
"The security and environmental ramifications of this will involve Canada, of course, but the other nations of the world as well.",8
"The focus will be on his accomplishments.While some Conservatives complain that Mr. Harper hasn't been conservative enough, most appreciate how far he has moved the dial.",6
"RICK SALUTINSpecial to The Globe and MailPublished Friday, Sep. 17 2010, 5:00 AM EDTLast updated Thursday, Sep. 06 2012, 3:59 PM EDT",15
Our vet gets it when told we are prepared to spend to make the hounds last years comfortable but not prepared to spend heavily on extraordinary measures which may only prolong suffering.,9
The premature pulling out of US troops from Iraq and Afghanistan have enabled the ISIS to take control of some large areas in Iraq and the Islamic State?s tentacles spreading into Afghanistan.,8
"Canadian history is strangely silent on his slave ownership, while Rutland history generally characterizes him as the owner of several African slaves.",4
"Look no further than Obama and how his lack of experience in anything but Politics has created a domestic mess, foreign affairs mess, credibility question.",6
"But we still need more access to psychiatry for those people who really need it, and easier affordable access to talk therapy for those for whom psychiatry is unnecessary.",9
Tasleem Thawar is executive director of PEN Canada.The injustice facing one man in Saudi Arabia has brought into focus the harrowing human-rights reality that Canada routinely overlooks in its relationship with the kingdom.,4
It's funny that we now look back wistfully on a time only three or four decades ago when it was believed the 'mixed market' economy could provide decent living standards and public services for all.,1
"Nobody is 'equal' to anybody, and to belabour this topic without addressing fundamental structural causes is an exercise in politically correct futility.",4
Likewise Faceborg and Twitter routinely delete posts even mentioning the national origin of the perpetrators and people have been hauled into court for posting such information.,5
"It has NOTHING to do with racism, ageism, ableism, or any other 'ism.When you taint the term you lose clarity and purpose.",4
These polls showing a rejection to secession have been coming out regularly for years yet the press doesn?t consider them newsworthy.,12
"A recent Marketplace episode (Feb 26) talked about racist bias, but it could and did talk about gender bias as well.",4
"He was given a 6 months definite, 3 months indefinite term and ended up serving all 9 months because he was involved in a few altercations while in person.",5
We are escalating to war based on a single or at most a few boastful bellicose threatening comments about Canada and Canadians by a hooded figure supposedly representing ISIL.,8
"Any political party that believes this crowd is wanting a reasonable debate during an election is dreaming, Harper has invented a new form of corruption - only CONS are the chosen.",6
From the Boston Globe editorial:'This is a threat that can't be contained through fences or wars even though new security efforts should be pursued.,8
"In fact a lot of refugee claimants have been in gangs, have killed people or are involved in the drug trade.",5
In fact religion has developed this need for protection simply because it is so weak on it?s face that it needs it.,15
"If he sues CBC in civil court, there may be any number of women willing to get up in court and tell the gory details, blow by blow, so to speak.",5
Remarkable in light of the fact that 1:Crime rates are dropping 2: the US states have commenced reversing their 3 strikes dogma.,5
"The real drugs that can save lives, on the other hand, are sat on the sideline with unyielding position by the health bureaucracy.",9
"It is no surprise that the poll found most Gazans, at least back in June, were eager to see the end of Hamas rule.",12
"Dr Ben Levine, former prof at OISE, former deputy minister of education for Wynne is still suspected and charged with multiple child sex crimes.",5
The media ...especially TV ..needs to rethink how and when it releases its Anderson Coopers into a world that really deserves better.,15
"The only reason we don't do this is because it upsets the current religious insistence that this would be communist, and therefore bad.",15
The number of people involved in the Trump protests/riots is relatively small but if you read the left wing media reports they make it sound like every other American is participating in this childish behaviour.,6
"What's going on in Afghanistan, Iraq, and Syria is a military stalemate as our Sepoys are doing a horrible job fighting the extremists.",8
"Government inaction is proving him right.Since that time, I learned authorities in Iran detained the fugitive on Canada's Interpol Red Notice.",5
"An objecting physician should not have to as the CMA obliges, refer the patient to a doctor who will perform PAD.",9
They could and did experience moral qualms about the unsavoury nature of that add and were quick to pull it.,3
Then when they have 8 hungry mouths to feed the Catholic church throws them a few crumbs and wants credit for helping to solve the poverty problem.,15
"All have remained silent, failing to exercise their various unique legal responsibilities under terms of the Geneva Conventions and the Rome Statute, and related Canadian law.",5
... and now we have seen the real Hillary Rodham Clinton Hubbell .... flinging mire because that's all she has to offer Americans .... sooo obvious..!,15
Hopefully a challenge to the amended but still deeply flawed Fair Elections Act will make its way to the Supreme Court prior to October 2015.,5
The main difference between European Canadians and their non European counterparts is that the latter will have home countries to go back to if they wish.,11
"So I can't go to the studios and say, 'Look, you either do this or I'm going to talk to the Department of Justice.'",15
"Terrorism is any violent act by an individual or individuals against the citizens of a country, regardless of the reason.",8
"Pastafarian was denied the right to wear a colander (which didn't obscure his identity), so why should a Muslim get any special accommodation?",4
"They are not now going to continue to have open borders with an EU Scotland that provides a back door into England, they will have to put up restrictions at the border which is unimaginable.",15
I don't understand how homeopaths sleep at night knowing that their treatments arestopping or delaying people from getting proven treatments to cure/help their medical problems?,9
In fact it is more likely to dampen current spending by convincing many to hold off on a renovation until the tax break arrives!,1
The only cooperation with our allies that might benefit Canadians is some intel sharing on threats to our home soil or that of our allies.,8
"As most know that is mostly caused by purchases from Asia, a situation which has been increasing since the 1970s.",1
"Wente says that the study mentioned in the Lancet article concludes that Vitamin D pills have no beneficial effects at all, yet the article is only focused on bones.",9
"While I have great respect for the Supreme Court, the criticisms being leveled at it on this matter are valid.",15
Just a few weeks ago the G&M wrote about a poll that said that Canadians are NOT into larger immigration numbers (many are not into the already large ones we have).,12
"Of course there are terrible problems in Cuba, and major civil rights restrictions and shortcomings, but American policy of 'regime change' simply exacerbate those problems.",6
"38% believe immigration levels are too high... other surveys put the number of people who think it is too low at around 13%, and about 40% who think the level is about right.",12
"While their representative, affiliates, brothers and supporters get to the root causes and effect positive global change there are trans-border security issues to deal with.",8
"plot 'completely under our control,' it is reasonable to ask whether savvy policing might have crossed a line into entrapment.Canadians can take comfort in our successes so far at thwarting homegrown terror.",15
"When innumerable factors make equal outcomes virtually impossible, reducing those factors to genes or malice is a formula for needless and dangerous polarization, whose consequences have often been written in blood across the pages of history.",15
"While we are dealing with a very complex issue, there is no question that the science is clear that heavy pot use is bad for the adolescent brain.",9
The eradication of ISIS may not prevent 'homegrown' or 'lone wolf' terrorists but they too can be hunted down and dispatched.,8
There is no more empirical evidence now then there was 60 years ago that the minute amounts of fluoride that we might consume would have any practical effect in reducing tooth decay.,9
"'We have developed a new upper class with advanced educations, often obtained at elite schools, sharing tastes and preferences that set them apart from mainstream America,' he writes in The Wall Street Journal.",15
"I remember in high school we were taught that the Canada is a cultural 'mosaic', and is better than the 'melting pot' US style.",11
"No, this is all about what happened with Clinton, and discouraging 'populists' from the silly notion of holding their 'betters' to account under law.",5
If 50%+1 of eligible voters voted for a clearly worded initiative -- including separation -- I think that would be reasonable.,6
"Perhaps, but discrimination alone doesn't explain why a race that only makes up 14% of the total population also makes up 40% of incarcerated US prisoners.",5
'This $37-billion in increased revenue did not come from tax-rate increases but from the economy returning to something approximating normal after the slow-growth period following the financial recession of 2008-09.,1
"People get upset in the real world all the time, and even march around, and even raise their voices sometimes.",15
"Fertility belongs in the wider world of medicine and should be regulated as such, with rigorous rules of clinical practice.",9
"Which leads me to conclude that 'camp two', above, is doing something comparable to a religious person who defends a deeply-held religious belief...",15
How strange to have a city where workers earning low pay can't afford to live close enough to actually make it to work.,1
But it's nonetheless an excellent idea and a work-around could probably be found that would prevent provinces from diverting the flow of federal resources toward rural areas where the provincial politicians can draw votes.,6
This is the case of a single mother of 3 who has come to the courts to try and get her car released early as a result of her son taking it without her permission with a suspended driver's license.,15
"We need to speak up, march in the streets and ask more respected Canadians to join us in the fight to scrap (not amend) this bill.",15
"I have been married and hated it, although I will admit it would be nice to have some sort of a 'relationship'.",15
'What 'lies'?A majority of the British population in a direct referendum said that Europe was no longer an institution that they believed in.,12
And both countries would be poorer for it.Numbers are tossed out to impress us but the most important number is missing: 0.4%.,15
"None of these things need elite management and sure are not helped by financial Hocus-Pocus, that enriches a non contributing small percentage of the population, while hyper inflating all of the basic costs of living.",1
"Even if this contention goes no further than this editorial, it is still evidence of just how depraved the whole boondoggle really is.",15
"There are a number of possible reasons why, some of which are so negative and discriminatory that they don't deserve mention.",4
"Most European countries that had done the same, are backtracking (France, Holland, Belgium, UK, Sweden, etc) for fear of loosing their identity, not to mention to alleviate the social problems that multiculturalism has created.",11
And get your grubby mitts out of my wallet and quit expecting everyone else to pay more to support your nutty ideas.,1
"And there was a reviewer from a British newspaper saying he would have preferred to have seen more 'authentic' African art, rather than a borrowing of western/northern forms.",11
"Any expansion of corrections will hurt the mentally ill in two ways - by bringing more into jails where they do not belong, and by limiting the dollars available for mental health care.",9
Males and females should be treated equally; men or women who don't want that and can't accept equality should not be dentists or doctors or teachers or police or in any other profession or job serving the public.,4
"He sold himself for a mess of pottage, betrayed his colleagues, was spurned by his lover, and spent his remaining political career as a serial puppet with high-sounding titles but totally in thrall to his master.",6
"Some readers may take your comment that the current gun mania is just one of many irrational outbreaks as a smart remark, but I think it shows a real understanding of American history.",11
"Nothing wrong with that - but let us please not pretend that a university degree is inexpensive, especially professional degrees.",1
Just because you meet someone in university?or anywhere else for that matter?doesn't necessarily mean the two of you are a good match for the long haul.),15
This reminds us that why it is important to be a society that actually does stand for freedom from all sorts of discrimination and bigotry.,4
"mental health disorders) is that it blurs the line between mild to moderate issues and severe disorders, which may last a lifetime.'",9
A person who had a stroke remains 'insured' and thus qualifies for many services which are in the same therapeutic vein as those with autism.,9
What Jeffrey has mentioned in past columns is that we pay a lot of money to people over a certain age without balancing it for young people or children.,1
The answer for governments and individuals alike is to live within your means or eventually the price has to be paid.,1
Mr. Harper's level of intelligence and political acumen has really declined in my opinion as a result of him completely misreading Canadian wishes regarding accepting many more Syrian refugees asap.,6
The fact that the Democrats have a manufactured establishment-oriented contender as a front runner speaks loudly of the failure of progressives to define an agenda and to pressure politicians to follow through on that agenda.,6
"George Petrolekas served with the military in Bosnia, Afghanistan and NATO and is a fellow with the Canadian Global Affairs Institute.The attacks in Brussels reveal that the strategy to defeat Islamic State is in shambles.",8
"Police almost always lay a charge when a woman complains of sexual assault, especially in Toronto and other large cities, lawyers told me.",5
"The generalization of your statement is ALL 'men' have a greater 'sexual agency and opportunities' is unfair and false, at least from my perspective as an Engineering undergrad.",4
"The maps drawn as late as post WW1 merely reflect imperial ambitions of Europe, they have no relationship to the local populations, their tribal allegiances, sectarian isolation, or any ( non-existent ) sense of nationhood.",11
"His argument is understandable, given the racism that did not die with Maurice Duplessis or his political descendants that can be played to, but neither is it 'fair.'",4
This kind of service would probably also quickly identify any major postpartum depression and other issues that usually show up in the days after the birth.,9
